Basename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11
IR040,193.9501,3.9991,0.7788,0.7504,0.9676,0.5631,13.323,11.3288,14.4808,10.5218,14.3009,13.8768,13.5918,14.1895,9.2622,16.7702,9.2342
IR041,108.116,2.1307,0.7821,0.7216,0.9886,0.5208,10.3472,9.6491,10.8556,8.331,6.9968,7.0137,7.2817,6.3342,4.5334,7.7957,4.6136
IR042,220.9308,5.0348,0.7466,0.7182,0.9771,0.5158,15.7935,11.7939,11.3393,13.699,18.4339,19.3116,18.2954,19.4273,11.4617,21.0774,11.0778
IR043,214.0333,4.0282,0.7644,0.7347,0.9671,0.5398,9.055,10.1067,10.6115,9.0497,13.758,14.4231,13.9295,13.9131,9.6364,17.8871,9.4548
IR044,108.0287,1.3156,0.8612,0.8025,0.9844,0.6439,11.3029,10.1778,12.6108,10.8113,4.6909,4.1878,4.1357,4.2908,2.3494,3.3541,1.8309
IR045,89.3323,2.7639,0.7877,0.7563,0.9905,0.572,7.7835,8.2135,9.8428,7.9168,8.8122,9.9,10.4068,10.4536,6.4988,13.3389,7.2758
IR046,224.8685,4.5096,0.788,0.7664,0.9755,0.5874,13.8835,11.2322,9.3221,10.4602,16.2289,16.1681,14.5532,16.1524,9.8834,17.4455,9.0297
IR047,90.8438,2.8925,0.7576,0.7181,0.9916,0.5156,9.5781,9.9073,9.7574,7.8613,8.0412,10.5587,12.3561,10.7941,6.3877,13.1185,7.8438
IR048,117.3566,2.2079,0.7873,0.729,0.9874,0.5314,10.3504,8.6321,8.667,8.3492,6.3288,6.0456,6.3623,6.7571,4.2878,7.3417,4.1099
IR049,118.1503,2.6975,0.7064,0.6311,0.9873,0.3983,11.0213,8.5272,7.739,6.2141,6.5073,6.8053,6.4128,6.0499,5.5685,9.8251,5.7408
IR050,59.3685,1.9678,0.7999,0.7587,0.9936,0.5756,10.1825,5.5788,6.0509,5.5589,5.3241,4.8576,4.7349,5.0604,4.2518,7.8119,4.3862
IR051,47.0335,1.6513,0.8408,0.8133,0.9893,0.6614,10.5709,7.0573,5.9568,5.7856,6.2165,4.4305,3.9098,4.3252,4.3464,5.961,3.5889
IR052,115.6123,3.3538,0.7636,0.7355,0.9861,0.541,12.4632,7.8958,9.7805,7.5855,11.7602,10.7467,10.2823,11.2446,8.3888,15.1292,7.7023
IR053,106.9328,2.0601,0.7475,0.6782,0.9866,0.4599,9.7462,8.1861,6.6161,7.4998,4.8931,3.7629,3.8316,3.9956,3.547,4.6172,3.0074
IR054,81.8134,3.1949,0.7508,0.719,0.9842,0.517,11.1836,5.4807,6.4246,3.7829,13.4615,10.6414,10.0422,10.165,9.593,14.9186,7.9702
IR055,139.4324,2.8405,0.7011,0.6203,0.9832,0.3848,6.2158,5.994,11.6761,9.9565,7.8098,8.0044,8.2683,8.7924,5.9684,10.5635,6.1137
IR056,109.6701,3.8448,0.6712,0.6207,0.9844,0.3853,11.1453,7.5714,8.4305,6.2769,14.2137,12.699,11.6301,12.1212,10.5294,17.5013,9.3627
IR057,157.8895,4.1433,0.5175,0.3839,0.9859,0.1474,15.434,8.3391,7.9837,10.2604,10.0233,8.4451,8.6374,9.398,8.2023,12.2454,7.3598
IR058,56.5646,2.0818,0.7676,0.7187,0.994,0.5166,14.1106,12.2825,11.9314,10.2919,6.9578,5.677,5.5617,5.4529,4.1488,4.7331,2.946
IR059,116.6857,2.8017,0.7642,0.7242,0.9781,0.5245,13.8052,10.2111,8.663,8.3201,9.1349,9.068,9.1723,9.3634,7.249,13.1982,7.7601
IR060,67.9116,1.8683,0.8315,0.7999,0.9907,0.6398,6.4468,6.1408,6.6211,6.8601,4.9161,6.0145,6.9587,6.1886,4.2165,8.4275,4.8784
IR061,94.6982,3.4955,0.6335,0.5571,0.9911,0.3104,11.1725,9.9137,10.7546,6.8986,11.3889,12.379,12.2776,11.7606,9.3183,14.5346,8.4071
IR062,107.5034,2.9596,0.7622,0.7143,0.9896,0.5102,9.7949,9.9952,9.6107,8.5398,9.1976,9.8145,9.0829,9.739,6.4422,11.9554,6.1641
IR063,87.5645,2.603,0.7676,0.7238,0.9914,0.5239,7.919,8.6727,7.3888,8.7356,7.9643,8.5174,8.014,8.3666,6.2941,11.2685,5.8071
IR064,153.138,2.0478,0.8538,0.8238,0.9685,0.6786,6.8472,6.0685,6.8894,5.9935,6.5725,6.4626,6.4344,6.5617,4.4029,7.9754,4.5344
IR065,80.0982,2.5971,0.581,0.4115,0.9931,0.1693,10.9187,9.1314,9.9211,7.8205,5.9422,4.8596,4.715,4.6983,4.0795,5.6792,3.0622
IR066,98.7296,1.995,0.769,0.7033,0.9872,0.4946,7.4801,7.2032,8.6647,7.0193,5.2007,5.5423,5.8692,5.383,3.9599,6.8084,4.2698
IR067,176.7252,5.1698,0.556,0.4695,0.9831,0.2204,17.7813,12.6048,10.732,10.7433,17.0533,16.8893,16.7072,17.3206,12.5718,21.3178,11.806
IR068,120.0883,2.781,0.7653,0.7267,0.9866,0.5281,7.3431,8.6049,11.7628,7.4926,10.4877,10.3379,11.3062,10.6697,7.8014,13.0569,7.4274
IR069,293.1931,7.0044,0.6603,0.6315,0.9566,0.3988,16.4165,12.4703,15.9436,13.7513,25.1408,25.3763,24.802,25.0861,16.1091,30.3402,16.1041
IR070,152.4206,4.5397,0.6756,0.6304,0.9851,0.3974,9.9938,9.872,11.2673,10.6538,15.9426,16.328,16.6479,16.767,11.4295,20.8039,11.2294
IR071,96.3586,3.9142,0.6482,0.5955,0.9859,0.3546,11.5348,6.5085,4.8515,2.6732,13.306,12.647,11.8797,12.0066,11.0792,19.3692,10.8064
IR072,48.5795,2.495,0.6617,0.5821,0.9955,0.3388,9.4005,6.7036,8.2673,5.8666,6.1604,5.7591,5.5117,4.9098,4.8875,7.8661,4.763
IR073,52.8622,2.346,0.6941,0.5939,0.9954,0.3527,16.8635,8.6148,6.4302,11.6717,6.7756,3.5949,3.4212,5.8928,3.1003,2.5344,1.4307
IR074,65.4453,3.0995,0.6309,0.5543,0.9949,0.3073,12.4381,8.0218,7.4154,10.2617,8.0179,6.6715,5.9065,6.8177,6.8777,10.0191,5.3465
IR075,159.0574,5.1317,0.6519,0.6135,0.9866,0.3763,12.0076,9.3296,7.0152,10.9405,17.4228,17.3355,15.7337,17.6055,12.874,23.5329,12.1199
